,OBJECTID_1,OBJECTID,PLOT,Exposure,SITE,GPS,GPS_ID,water_depth,SCH_P,SCH_D,TYP_P,TYP_D,LAT,LONGITUDE,fetch,REI_projected,cost_distance,slope,speed_limit,SL_MJ
40,40,41,5,Exposed,LIWC,Green,148,75,0,0,0,0,46.093455,-84.006409,2033.109985,10281.51953,2.928618908,2.663303852,14,489.6196594
41,41,42,6,Exposed,LIWC,Green,149,87,0,0,0,0,46.093476,-84.006458,2033.109985,10281.51953,2.920311213,2.663303852,14,489.6196594
42,42,43,7,Exposed,LIWC,Green,150,86,0,0,0,0,46.0935,-84.006511,2033.109985,10281.51953,2.920311213,2.663303852,14,489.6196594
43,43,44,8,Exposed,LIWC,Green,151,96,0,0,0,0,46.093522,-84.006556,2033.109985,10281.51953,2.920311213,2.663303852,14,489.6196594
44,44,45,9,Exposed,LIWC,Green,152,102,0,0,0,0,46.093541,-84.006605,2033.109985,10281.51953,2.914548635,2.663303852,14,489.6196594
45,45,46,10,Exposed,LIWC,Green,153,109,0,0,0,0,46.093554,-84.006654,2207.177979,10913.66309,2.914548635,2.663303852,14,489.6196594
46,46,47,1,Exposed,LIWN,Green,154,1,0,0,0,0,46.093609,-84.005981,2033.109985,10281.51953,2.93538475,-1.366686583,14,489.6196594
47,47,48,2,Exposed,LIWN,Green,155,52,0,0,0,0,46.093613,-84.006051,2033.109985,10281.51953,2.93538475,-1.366686583,14,489.6196594
48,48,49,3,Exposed,LIWN,Green,156,77,0,0,0,0,46.093614,-84.006124,2033.109985,10281.51953,2.929442167,-1.366686583,14,489.6196594
49,49,50,4,Exposed,LIWN,Green,157,79,0,0,0,0,46.093627,-84.006184,2033.109985,10281.51953,2.929442167,-1.366686583,14,489.6196594
50,50,51,5,Exposed,LIWN,Green,158,81,0,0,0,0,46.093623,-84.006227,2033.109985,10281.51953,2.929442167,-1.366686583,14,489.6196594
51,51,52,6,Exposed,LIWN,Green,159,85,0,0,0,0,46.093632,-84.006287,2033.109985,10281.51953,2.923624754,2.663303852,14,489.6196594
52,52,53,7,Exposed,LIWN,Green,160,90,0,0,0,0,46.093646,-84.006341,2033.109985,10281.51953,2.923624754,2.663303852,14,489.6196594
53,53,54,8,Exposed,LIWN,Green,161,98,0,0,0,0,46.093656,-84.00639,2024.515015,10297.90332,2.923624754,2.663303852,14,489.6196594
54,54,55,9,Exposed,LIWN,Green,162,102,0,0,0,0,46.093668,-84.006445,2024.515015,10297.90332,2.917819262,2.663303852,14,489.6196594
55,55,56,10,Exposed,LIWN,Green,163,104,0,0,0,0,46.093677,-84.006505,2024.515015,10297.90332,2.917819262,2.663303852,14,489.6196594
56,56,57,1,Exposed,LIWS,Gray,152,1,0,0,0,0,46.093126,-84.006416,2003.753052,10076.83594,2.933887005,0.339184642,14,489.6196594
57,57,58,2,Exposed,LIWS,Gray,153,60,0,0,0,0,46.093152,-84.00645,2003.753052,10076.83594,2.928203583,-4.849993706,14,489.6196594
58,58,59,3,Exposed,LIWS,Gray,154,83,0,0,0,0,46.093177,-84.006483,2003.753052,10076.83594,2.928203583,-4.849993706,14,489.6196594
59,59,60,4,Exposed,LIWS,Gray,155,75,0,0,0,0,46.093204,-84.006527,2003.753052,10076.83594,2.928203583,-4.849993706,14,489.6196594
60,60,61,5,Exposed,LIWS,Gray,156,85,0,0,0,0,46.093233,-84.006574,2003.753052,10076.83594,2.928203583,-4.849993706,14,489.6196594
61,61,62,6,Exposed,LIWS,Gray,157,107,0,0,0,0,46.093255,-84.006617,2003.753052,10076.83594,2.919804573,-4.849993706,14,489.6196594
62,62,63,7,Exposed,LIWS,Gray,158,93,0,0,0,0,46.093277,-84.006682,2156.434082,10669.53613,2.919804573,-4.849993706,14,489.6196594
63,63,64,8,Exposed,LIWS,Gray,159,84,0,0,0,0,46.093297,-84.006732,2156.434082,10669.53613,2.919804573,1.37623477,14,489.6196594
64,64,65,9,Exposed,LIWS,Gray,160,81,0,0,0,0,46.093329,-84.006791,2156.434082,10669.53613,2.914118528,1.37623477,14,489.6196594
65,65,66,10,Exposed,LIWS,Gray,161,101,0,0,0,0,46.093349,-84.006848,2156.434082,10669.53613,2.914118528,1.37623477,14,489.6196594
66,66,67,1,Exposed,KPES,Gray,1,0,0,0,0,0,46.23592503,-84.18182999,1668.728027,7557.156738,15.2629509,-2.38,10,249.805954
67,67,68,2,Exposed,KPES,Gray,2,26,0,0,0,0,46.23593702,-84.18177903,1386.911987,6180.929199,15.2629509,-2.38,10,249.805954
68,68,69,3,Exposed,KPES,Gray,3,42,0,0,0,0,46.23595596,-84.18171197,1386.911987,6180.929199,8.984558105,-2.38,10,249.805954
