,OBJECTID_1,OBJECTID,PLOT,Exposure,SITE,GPS,GPS_ID,water_depth,SCH_p,SCH_D,TYP_P,TYP_D,ORG_DEP,LATITUDE,LONGITUDE,Slope,tot_Slope,avg_slope,Fetch_projected,REI_projected,lake_huron,NLCD,Euc_d,Cost_d,cost_sug,Cost_avg,water_depth1,F2013_NCMP_MI_Huron_46084b2c_BareEarth_1mGrid,new_slope,be_stmarys_01,be_stmarys_02_1_,be_stmarys_03,be_stmarys_04,be_stmarys_05,be_stmarys_06,be_stmarys_078,slope_rise_run,slope_riseRun1,slope_rise_run_1,slope_riseRun1_1,small_cost,cost_small,Field,slope_USE,Field1,inside1_small_backwards,F1,site_id,crew_name,date,year,transect_num,point_num,bottom_vis,substrate_type,org_depth_cm,
14,14,15,3,Unexposed,LIEE,Gray,129,56,1,3,0,0,0,46.09514,-84.000826,-0.4,-2.28571,-2,1114.765991,4370.294434,13,11,1169.713867,12891.88867,850179,848682.5,177.8930054,-0.02,2.159029961,NA,NA,NA,NA,NA,NA,NA,NA,-1.499248981,NA,-1.499248981,1.339030147,3.168879032,NA,-1.499248981,NA,,,,,,,,,,,,2.172237396
15,15,16,4,Unexposed,LIEE,Gray,130,103,1,3,0,0,0,46.095204,-84.000806,-4.7,-2.28571,-2,1114.765991,4370.294434,13,11,1169.713867,12891.88867,853123.375,848682.5,177.6629944,-0.02,1.136909962,NA,NA,NA,NA,NA,NA,NA,NA,2.158278942,NA,2.158278942,1.339030147,3.168879032,NA,2.158278942,NA,,,,,,,,,,,,170.0585938
16,16,17,5,Unexposed,LIEE,Gray,131,114,0,0,0,0,0,46.095286,-84.000773,-1.1,-2.28571,-2,1114.765991,4370.294434,13,11,1169.713867,399.2762146,843446.75,848682.5,176.602005,-0.02,1.136909962,NA,NA,NA,NA,NA,NA,NA,NA,2.158278942,NA,2.158278942,1.331387639,3.170011997,NA,2.158278942,NA,,,,,,,,,,,,153.1520691
17,17,18,6,Unexposed,LIEE,Gray,132,123,1,5,0,0,0,46.09538,-84.00076,-0.9,-2.28571,-2,1114.765991,4370.294434,13,11,1169.713867,396.4769897,834048.375,848682.5,176.582005,-0.02,1.136909962,NA,NA,NA,NA,NA,NA,NA,NA,2.158278942,NA,2.158278942,1.323888779,3.166244268,NA,2.158278942,NA,,,,,,,,,,,,130.4565277
18,18,19,7,Unexposed,LIEE,Gray,133,137,1,9,0,0,0,46.09546,-84.000734,-1.4,-2.28571,-2,1384.745972,5487.007813,13,11,1169.713867,384.3291931,824937.125,848682.5,176.562005,-0.02,0.713415027,NA,NA,NA,NA,NA,NA,NA,NA,0.865484476,NA,0.865484476,1.334153056,3.162550449,NA,0.865484476,NA,,,,,,,,,,,,118.4465103
19,19,20,8,Unexposed,LIEE,Gray,134,160,1,8,0,0,0,46.095565,-84.000732,-2.3,-2.28571,-2,1384.745972,5487.007813,13,11,1169.713867,384.3291931,873074,848682.5,176.542005,-0.02,0.713415027,NA,NA,NA,NA,NA,NA,NA,NA,0.865484476,NA,0.865484476,1.326927185,3.162550449,NA,0.865484476,NA,,,,,,,,,,,,118.4045258
20,20,21,1,Unexposed,LIEW,Gray,135,0,0,0,0,0,0,46.094671,-84.00155,0,-0.8125,-0.764705882,1048.453979,4061.697754,13,31,1169.713867,524.6103516,859054.125,787951.4449,177.730639,-0.007647059,1.988090038,NA,NA,NA,NA,NA,NA,NA,NA,-2.255664825,NA,-2.255664825,1.35688591,3.795473576,NA,-2.255664825,NA,,,,,,,,,,,,2.044276714
21,21,22,2,Unexposed,LIEW,Gray,136,15,0,0,0,0,10,46.094745,-84.001594,-1.5,-0.8125,-0.76471,1048.453979,4061.697754,13,31,1169.713867,524.6103516,845291.5625,787951.4,177.7229919,-0.0076471,1.37361002,NA,NA,NA,NA,NA,NA,NA,NA,5.00549078,NA,5.00549078,1.339502931,3.17392087,NA,5.00549078,NA,,,,,,,,,,,,2.024804831
22,22,23,3,Unexposed,LIEW,Gray,137,32,0,0,0,0,0,46.094842,-84.001593,-1.7,-0.8125,-0.76471,1048.453979,4061.697754,13,11,1169.713867,399.6131897,831783.875,787951.4,176.8119965,-0.0076471,1.37361002,NA,NA,NA,NA,NA,NA,NA,NA,5.00549078,NA,5.00549078,1.328666449,3.168530941,NA,5.00549078,NA,,,,,,,,,,,,45.85055161
23,23,24,4,Unexposed,LIEW,Gray,138,30,0,0,0,0,0,46.094929,-84.0016,0.2,-0.8125,-0.76471,1048.453979,4061.697754,13,11,1169.713867,399.6131897,831783.875,787951.4,176.8043494,-0.0076471,0.653053999,NA,NA,NA,NA,NA,NA,NA,NA,0.765034854,NA,0.765034854,1.317932367,3.163192272,NA,0.765034854,NA,,,,,,,,,,,,36.09605789
